region_id,date,lat,lon,ValidFrac_Land,ValidPixCount,LandPixCount,WaterFrac_Valid,WaterPixCount,WaterFrac_Valid_NoPerm,WaterPixCount_NoPerm,NDWI_mean,DSWE_mean,n_scenes,CC_min,CC_med,ROI_ValidFrac,ROI_ValidPix
0.0,2001-01-20,9.250043404669062,-13.750062896374907,0.2475687035227047,34075.603921568596,137641,0.9840251417867927,33531.25098039213,0.9891056553714066,33704.37254901958,0.16658553890149932,3.641461506760227,2,1.0,1.0,1.0006378472677278,6711680.298039252
1.0,2001-01-20,9.250043404668721,-13.650062438949137,0.500602633363776,68903.44705882348,137641,0.9993904513954992,68861.44705882348,1.0020922144024325,69047.6078431372,0.1951334562756285,3.925782875827551,2,1.0,1.0,1.0006378472677278,6711680.298039252
2.0,2001-01-20,9.250043404669128,-13.550061981517977,0.5006239733344382,68906.38431372542,137641,1.0,68906.38431372542,1.002702615335794,69092.61176470581,0.3009357691917051,3.9954857195280806,2,1.0,1.0,1.0006378472677278,6711680.298039252
3.0,2001-01-20,9.250043404669116,-13.450061524091327,0.5006239733344384,68906.38431372544,137641,0.8680256042753772,59812.5058823529,0.8707282196111712,59998.73333333329,0.25395324211911713,3.40818864901559,2,1.0,1.0,1.0006378472677278,6711680.298039252
4.0,2001-01-20,9.250043404668244,-13.3500610666612,0.5006244291949599,68906.44705882347,137641,0.5225832763080199,36009.356862745095,0.524847841438213,36165.399999999994,-0.08981163535897772,2.008315167185473,2,1.0,1.0,1.0006378472677278,6711680.298039252
5.0,2001-01-20,9.250043404668542,-13.25006060923763,0.5006249420380465,68906.51764705876,137641,0.10864324169340664,7486.227450980395,0.1087889349605907,7496.26666666667,-0.530218367798654,0.3601129509818423,2,1.0,1.0,1.0006378472677278,6711680.298039252
6.0,2001-01-20,9.250043404668832,-13.15006015180492,0.5006252269508725,68906.55686274504,137641,0.06242076510320433,4301.200000000001,0.06242076510320433,4301.200000000001,-0.5493173222252415,0.17483096745054927,2,1.0,1.0,1.0006378472677278,6711680.298039252
7.0,2001-01-20,9.250043404669082,-13.05005969437665,6.564106596714859E-4,90.34901960784299,137641,0.0,0.0,0.0,0.0,-0.5457739485929334,0.0,2,1.0,1.0,1.0006378472677278,6711680.298039252
8.0,2001-01-20,9.350043872117022,-13.750062896376573,0.4995471168175353,68758.16470588237,137641,1.0,68758.16470588237,1.0030652473813877,68968.9254901961,0.20202901053234967,3.951971422203151,2,1.0,1.0,1.0006378472677278,6711680.298039252
9.0,2001-01-20,9.35004387211654,-13.65006243894831,1.000359417529918,137690.47058823545,137641,0.9999927373332684,137689.47058823545,0.9999927373332684,137689.47058823545,0.23439550117757427,3.9746484513288824,2,1.0,1.0,1.0006378472677278,6711680.298039252
10.0,2001-01-20,9.350043872116789,-13.550061981518128,1.0003593890386349,137690.46666666673,137641,1.0,137690.46666666673,1.0,137690.46666666673,0.39704656221330675,3.999168666724446,2,1.0,1.0,1.0006378472677278,6711680.298039252
