Region_ID,Date,lat_x,lon_x,ValidFrac_Land,ValidPixCount,LandPixCount,WaterFrac_Valid,WaterPixCount,WaterFrac_Valid_NoPerm,WaterPixCount_NoPerm,NDWI_mean,DSWE_mean,n_scenes,CC_min,CC_med,ROI_ValidFrac,ROI_ValidPix,lat_y,lon_y,Precip_mm,rain_sum_7,rain_sum_15,rain_sum_30,rain_sum_60,rain_sum_90,rain_days_7
4,2001-01-20,9.250043404668244,-13.3500610666612,0.5006244291949599,68906.44705882347,137641,0.5225832763080199,36009.356862745095,0.524847841438213,36165.4,-0.0898116353589777,2.008315167185473,2,1.0,1.0,1.0006378472677278,6711680.298039252,9.250043404668244,-13.3500610666612,0.0,0.1645392164277834,0.3732674154690579,0.4125456327557223,0.4125456327557223,0.4125456327557223,0.0
5,2001-01-20,9.250043404668542,-13.25006060923763,0.5006249420380465,68906.51764705876,137641,0.1086432416934066,7486.227450980395,0.1087889349605907,7496.26666666667,-0.530218367798654,0.3601129509818423,2,1.0,1.0,1.0006378472677278,6711680.298039252,9.250043404668542,-13.25006060923763,0.0,0.1304751619386476,0.2865128549984767,0.32620830479856894,0.32620830479856894,0.32620830479856894,0.0
6,2001-01-20,9.250043404668832,-13.15006015180492,0.5006252269508725,68906.55686274504,137641,0.0624207651032043,4301.200000000001,0.0624207651032043,4301.200000000001,-0.5493173222252415,0.1748309674505492,2,1.0,1.0,1.0006378472677278,6711680.298039252,9.250043404668832,-13.15006015180492,0.0,0.11700078692911078,0.2271205517700983,0.2609300428986206,0.2609300428986206,0.2609300428986206,0.0
7,2001-01-20,9.250043404669082,-13.05005969437665,0.0006564106596714859,90.349019607843,137641,0.0,0.0,0.0,0.0,-0.5457739485929334,0.0,2,1.0,1.0,1.0006378472677278,6711680.298039252,9.250043404669082,-13.05005969437665,0.0,0.22169634547708447,0.3289625379494501,0.39665726963278186,0.39665726963278186,0.39665726963278186,0.0
12,2001-01-20,9.3500438721182,-13.35006106666309,1.0003594175299175,137690.4705882354,137641,0.1567007499344223,21576.2,0.1567007499344223,21576.2,-0.4242672491677163,0.5866583672898601,2,1.0,1.0,1.0006378472677278,6711680.298039252,9.3500438721182,-13.35006106666309,0.0002682209014892578,0.18213748779771738,0.4206531080654931,0.506154727375473,0.506154727375473,0.506154727375473,0.0
13,2001-01-20,9.350043872117311,-13.250060609236352,1.0003593890386349,137690.46666666673,137641,0.1213112309397358,16703.4,0.1213112309397358,16703.4,-0.4934684166064021,0.4292386255741741,2,1.0,1.0,1.0006378472677278,6711680.298039252,9.350043872117311,-13.250060609236352,0.00017881393432617188,0.14766737666604948,0.3290593954972104,0.410478096640076,0.410478096640076,0.410478096640076,0.0
14,2001-01-20,9.350043872118327,-13.150060151804857,1.0003593890386349,137690.46666666673,137641,0.0229965085939137,3166.4000000000005,0.0229965085939137,3166.4000000000005,-0.5331147454929567,0.0591355392796499,2,1.0,1.0,1.0006378472677278,6711680.298039252,9.350043872118327,-13.150060151804857,0.00017881393432617188,0.1006169601964754,0.2307415339402033,0.3153341824173584,0.3153341824173584,0.3153341824173584,0.0
15,2001-01-20,9.35004387211693,-13.050059694377891,0.0013121375285607,180.6039215686272,137641,0.0,0.0,0.0,0.0,-0.607679763184416,0.0,2,1.0,1.0,1.0006378472677278,6711680.298039252,9.35004387211693,-13.050059694377891,0.00017881393432617188,0.1352547093915742,0.2573401066712213,0.3736126238464965,0.3736126238464965,0.3736126238464965,0.0
19,2001-01-20,9.450044339506864,-13.450061524089884,1.000359389038634,137690.46666666662,137641,0.1053135123855101,14500.666666666668,0.1053135123855101,14500.666666666668,-0.4076469716136131,0.3835017384403764,2,1.0,1.0,1.0006378472677278,6711680.298039252,9.450044339506864,-13.450061524089884,0.0,0.19466191378114653,0.5348556074551417,0.6402949804424898,0.6402949804424898,0.6402949804424898,0.0
20,2001-01-20,9.450044339507972,-13.350061066661814,1.0003594175299169,137690.4705882353,137641,0.0697467778680626,9603.466666666664,0.0697467778680626,9603.466666666664,-0.480922509847459,0.250285536726736,2,1.0,1.0,1.0006378472677278,6711680.298039252,9.450044339507972,-13.350061066661814,0.0007450580596923828,0.19298553314683858,0.5336635145596341,0.7945070976376193,0.7945070976376193,0.7945070976376193,0.0
21,2001-01-20,9.45004433950898,-13.2500606092375,1.0003593890386344,137690.46666666667,137641,0.0358359353855047,4934.266666666666,0.0358359353855047,4934.266666666666,-0.506328112273535,0.0848444118861775,2,1.0,1.0,1.0006378472677278,6711680.298039252,9.45004433950898,-13.2500606092375,0.0020861625671386,0.16557112184045744,0.5470335814408142,1.0051387364029545,1.0051387364029545,1.0051387364029545,0.0
