Region_ID,Date,lon,lat,ValidFrac_Land,WaterFrac_Valid,ValidPixCount,WaterPixCount,LandPixCount,WI_mean,NDWI_mean,DSWE_mean,system:index,Precip_mm,.geo,rain_sum_7,rain_sum_15,rain_sum_30,rain_sum_60,rain_sum_90,rain_days_7
1,2015-01-26,-13.75,9.25,0.0,0.0,0.0,0.0,859329,,,0.0,25_0,1.862645149230957e-06,"{""type"":""MultiPoint"",""coordinates"":[]}",0.16746111214160894,0.17131585627794227,0.17306581139564475,0.17306581139564475,0.17306581139564475,0.0
6,2015-01-26,-13.75,9.5,0.0695757021225617,0.9847722536831472,59852.915205146506,58941.490196078434,860256,0.5501841086113067,0.4664324494800956,0.2794014559899147,25_1,1.862645149230957e-06,"{""type"":""MultiPoint"",""coordinates"":[]}",0.22208690643310525,0.23356638848781544,0.23990031331777517,0.23990031331777517,0.23990031331777517,0.0
11,2015-01-26,-13.75,9.75,0.2801397340432124,0.1531260910363479,240732.1975156197,36862.38039215686,859329,-0.1967442363681529,-0.4014380113904463,0.1641981497503561,25_2,0.0003501772880554199,"{""type"":""MultiPoint"",""coordinates"":[]}",0.03794766962528217,0.042993575334548756,0.0449875369668004,0.0449875369668004,0.0449875369668004,0.0
2,2015-01-26,-13.5,9.25,0.0,0.0,0.0,0.0,860256,,,0.0,25_3,1.862645149230957e-06,"{""type"":""MultiPoint"",""coordinates"":[]}",0.15091244131326642,0.1558288931846615,0.1666033640503879,0.1666033640503879,0.1666033640503879,0.0
7,2015-01-26,-13.5,9.5,0.0,0.0,0.0,0.0,861184,,,0.0,25_4,1.862645149230957e-06,"{""type"":""MultiPoint"",""coordinates"":[]}",0.16008224338293053,0.16425922513008084,0.16540940850973093,0.16540940850973093,0.16540940850973093,0.0
12,2015-01-26,-13.5,9.75,0.0,0.0,0.0,0.0,860256,,,0.0,25_5,1.862645149230957e-06,"{""type"":""MultiPoint"",""coordinates"":[]}",0.0020982697606085547,0.014778226613998241,0.01478474587202055,0.01478474587202055,0.01478474587202055,0.0
3,2015-01-26,-13.25,9.25,0.0,0.0,0.0,0.0,860256,,,0.0,25_6,0.0017452985048294,"{""type"":""MultiPoint"",""coordinates"":[]}",0.34600123763084395,0.3460170701146124,0.34773908555507643,0.34773908555507643,0.34773908555507643,0.0
8,2015-01-26,-13.25,9.5,0.0,0.0,0.0,0.0,861184,,,0.0,25_7,0.1522460952401161,"{""type"":""MultiPoint"",""coordinates"":[]}",1.1437283828854559,1.1462094262242315,1.1462159454822538,1.1462159454822538,1.1462159454822538,0.0
13,2015-01-26,-13.25,9.75,0.0,0.0,0.0,0.0,860256,,,0.0,25_8,0.6736991927027702,"{""type"":""MultiPoint"",""coordinates"":[]}",0.41125621646642685,0.41689816862344725,0.41690468788146956,0.41690468788146956,0.41690468788146956,0.0
4,2015-01-26,-13.0,9.25,0.0,0.0,0.0,0.0,859329,,,0.0,25_9,0.6410097703337669,"{""type"":""MultiPoint"",""coordinates"":[]}",0.7543144747614858,0.7543303072452543,0.7554804906249044,0.7554804906249044,0.7554804906249044,0.0
9,2015-01-26,-13.0,9.5,0.0,0.0,0.0,0.0,860256,,,0.0,25_10,0.5338583141565323,"{""type"":""MultiPoint"",""coordinates"":[]}",1.1418368667364118,1.1427216231822965,1.1427281424403188,1.1427281424403188,1.1427281424403188,0.0
14,2015-01-26,-13.0,9.75,0.0,0.0,0.0,0.0,859329,,,0.0,25_11,0.1684259623289108,"{""type"":""MultiPoint"",""coordinates"":[]}",0.22765621542930597,0.22951886057853693,0.22952537983655924,0.22952537983655924,0.22952537983655924,0.0
